Id,Sku,Product name,Manage stock,Stock status,Backorders,Stock,Type,Parent ID
9704.0,AWTSE2G-ALUMD-40-A -R,40 MM Aluminio Midnight Excelente,TRUE,outofstock,no,0.0,product-variant,9656.0
9706.0,AWTSE2G-ALUSL-40-C -R,40 MM Aluminio Silver Bueno,TRUE,outofstock,no,0.0,product-variant,9656.0
9707.0,AWTSE2G-ALUSL-40-B -R,40 MM Aluminio Silver Muy bueno,TRUE,outofstock,no,0.0,product-variant,9656.0
9708.0,AWTSE2G-ALUSL-40-A -R,40 MM Aluminio Silver Excelente,TRUE,outofstock,no,0.0,product-variant,9656.0
9710.0,AWTSE2G-ALUSTR-40-C -R,40 MM Aluminio Starlight Bueno,TRUE,outofstock,no,0.0,product-variant,9656.0
9711.0,AWTSE2G-ALUSTR-40-B -R,40 MM Aluminio Starlight Muy bueno,TRUE,outofstock,no,0.0,product-variant,9656.0
9712.0,AWTSE2G-ALUSTR-40-A -R,40 MM Aluminio Starlight Excelente,TRUE,outofstock,no,0.0,product-variant,9656.0
9714.0,AWTSE2G-ALUMD-44-C -R,44 MM Aluminio Midnight Bueno,TRUE,outofstock,no,0.0,product-variant,9656.0
9715.0,AWTSE2G-ALUMD-44-B -R,44 MM Aluminio Midnight Muy bueno,TRUE,outofstock,no,0.0,product-variant,9656.0
9716.0,AWTSE2G-ALUMD-44-A -R,44 MM Aluminio Midnight Excelente,TRUE,outofstock,no,0.0,product-variant,9656.0
9717.0,AWTSE2G-ALUMD-44-A+ -R,44 MM Aluminio Midnight Premium,TRUE,outofstock,no,0.0,product-variant,9656.0
9718.0,AWTSE2G-ALUSL-44-C -R,44 MM Aluminio Silver Bueno,TRUE,outofstock,no,0.0,product-variant,9656.0
9719.0,AWTSE2G-ALUSL-44-B -R,44 MM Aluminio Silver Muy bueno,TRUE,outofstock,no,0.0,product-variant,9656.0
9720.0,AWTSE2G-ALUSL-44-A -R,44 MM Aluminio Silver Excelente,TRUE,outofstock,no,0.0,product-variant,9656.0
9721.0,AWTSE2G-ALUSL-44-A+ -R,44 MM Aluminio Silver Premium,TRUE,outofstock,no,0.0,product-variant,9656.0
9722.0,AWTSE2G-ALUSTR-44-C -R,44 MM Aluminio Starlight Bueno,TRUE,outofstock,no,0.0,product-variant,9656.0
9723.0,AWTSE2G-ALUSTR-44-B -R,44 MM Aluminio Starlight Muy bueno,TRUE,outofstock,no,0.0,product-variant,9656.0
9724.0,AWTSE2G-ALUSTR-44-A -R,44 MM Aluminio Starlight Excelente,TRUE,outofstock,no,0.0,product-variant,9656.0
9725.0,AWTSE2G-ALUSTR-44-A+ -R,44 MM Aluminio Starlight Premium,TRUE,outofstock,no,0.0,product-variant,9656.0
9917.0,iP12PR-GD-128-C -R,128 GB Gold Bueno,TRUE,outofstock,no,0.0,product-variant,8912.0
9918.0,iP12PR-GD-128-B -R,128 GB Gold Muy bueno,TRUE,outofstock,no,0.0,product-variant,8912.0
9919.0,iP12PR-GD-128-A -R,128 GB Gold Excelente,TRUE,outofstock,no,0.0,product-variant,8912.0
9920.0,iP12PR-GD-128-A+-R,128 GB Gold Premium,TRUE,outofstock,no,0.0,product-variant,8912.0
9921.0,iP12PR-GRT-128-C -R,128 GB Graphite Bueno,TRUE,outofstock,no,0.0,product-variant,8912.0
9922.0,iP12PR-GRT-128-B -R,128 GB Graphite Muy bueno,TRUE,outofstock,no,0.0,product-variant,8912.0
